"domain_name","page_name","view_count","data_period"
en.m,Yandex_Taxi,4,2025-04-04 08:00:00.000
ru,YandexGPT,8,2025-04-04 08:00:00.000
ru.m,YandexGPT,6,2025-04-04 08:00:00.000
en,Yandex,43,2025-04-04 09:00:00.000
en,YandexGPT,2,2025-04-04 09:00:00.000
en,Yandex_Maps,15,2025-04-04 09:00:00.000
en,Yandex_Search,7,2025-04-04 09:00:00.000
en,Yandex_Taxi,1,2025-04-04 09:00:00.000
en.m,Yandex,146,2025-04-04 09:00:00.000
en.m,YandexGPT,1,2025-04-04 09:00:00.000
en.m,Yandex_Maps,5,2025-04-04 09:00:00.000
en.m,Yandex_Search,25,2025-04-04 09:00:00.000
en.m,Yandex_Taxi,8,2025-04-04 09:00:00.000
ru,YandexGPT,6,2025-04-04 09:00:00.000
ru.m,YandexGPT,6,2025-04-04 09:00:00.000
en,Yandex,42,2025-04-04 10:00:00.000
en,YandexGPT,4,2025-04-04 10:00:00.000
en,Yandex_Maps,17,2025-04-04 10:00:00.000
en,Yandex_Search,7,2025-04-04 10:00:00.000
en,Yandex_Taxi,3,2025-04-04 10:00:00.000
en.m,Yandex,147,2025-04-04 10:00:00.000
en.m,YandexGPT,1,2025-04-04 10:00:00.000
en.m,Yandex_Maps,4,2025-04-04 10:00:00.000
en.m,Yandex_Search,33,2025-04-04 10:00:00.000
en.m,Yandex_Taxi,2,2025-04-04 10:00:00.000
ru,YandexGPT,8,2025-04-04 10:00:00.000
ru.m,Yandex,1,2025-04-04 10:00:00.000
ru.m,YandexGPT,7,2025-04-04 10:00:00.000
en,Yandex,34,2025-04-04 11:00:00.000
en,YandexGPT,1,2025-04-04 11:00:00.000
en,Yandex_Maps,7,2025-04-04 11:00:00.000
en,Yandex_Market,2,2025-04-04 11:00:00.000
en,Yandex_Search,7,2025-04-04 11:00:00.000
en,Yandex_Taxi,1,2025-04-04 11:00:00.000
en.m,Yandex,153,2025-04-04 11:00:00.000
en.m,YandexGPT,1,2025-04-04 11:00:00.000
en.m,Yandex_Maps,9,2025-04-04 11:00:00.000
en.m,Yandex_Search,26,2025-04-04 11:00:00.000
en.m,Yandex_Taxi,2,2025-04-04 11:00:00.000
ru,YandexGPT,10,2025-04-04 11:00:00.000
ru.m,YandexGPT,5,2025-04-04 11:00:00.000
en,Yandex,27,2025-04-04 12:00:00.000
en,YandexGPT,1,2025-04-04 12:00:00.000
en,Yandex_Maps,12,2025-04-04 12:00:00.000
en,Yandex_Market,5,2025-04-04 12:00:00.000
en,Yandex_Search,4,2025-04-04 12:00:00.000
en,Yandex_Taxi,2,2025-04-04 12:00:00.000
en.m,Yandex,125,2025-04-04 12:00:00.000
en.m,Yandex_Maps,7,2025-04-04 12:00:00.000
en.m,Yandex_Market,2,2025-04-04 12:00:00.000
en.m,Yandex_Search,20,2025-04-04 12:00:00.000
en.m,Yandex_Taxi,6,2025-04-04 12:00:00.000
ru,YandexGPT,9,2025-04-04 12:00:00.000
ru.m,YandexGPT,7,2025-04-04 12:00:00.000
en,Yandex,38,2025-04-04 13:00:00.000
en,YandexGPT,1,2025-04-04 13:00:00.000
en,Yandex_Maps,6,2025-04-04 13:00:00.000
en,Yandex_Search,5,2025-04-04 13:00:00.000
en,Yandex_Taxi,3,2025-04-04 13:00:00.000
en.m,Yandex,104,2025-04-04 13:00:00.000
en.m,Yandex_Maps,10,2025-04-04 13:00:00.000
en.m,Yandex_Market,1,2025-04-04 13:00:00.000
en.m,Yandex_Search,26,2025-04-04 13:00:00.000
en.m,Yandex_Taxi,9,2025-04-04 13:00:00.000
ru,YandexGPT,6,2025-04-04 13:00:00.000
ru.m,YandexGPT,3,2025-04-04 13:00:00.000
en,Yandex,33,2025-04-04 14:00:00.000
en,YandexGPT,2,2025-04-04 14:00:00.000
en,Yandex_Maps,13,2025-04-04 14:00:00.000
en,Yandex_Market,1,2025-04-04 14:00:00.000
en,Yandex_Search,9,2025-04-04 14:00:00.000
en.m,Yandex,142,2025-04-04 14:00:00.000
en.m,Yandex_Maps,8,2025-04-04 14:00:00.000
en.m,Yandex_Market,1,2025-04-04 14:00:00.000
en.m,Yandex_Search,26,2025-04-04 14:00:00.000
en.m,Yandex_Taxi,2,2025-04-04 14:00:00.000
ru,YandexGPT,5,2025-04-04 14:00:00.000
ru.m,Yandex,1,2025-04-04 14:00:00.000
ru.m,YandexGPT,6,2025-04-04 14:00:00.000
en,Yandex,61,2025-04-04 15:00:00.000
en,YandexGPT,1,2025-04-04 15:00:00.000
en,Yandex_Maps,15,2025-04-04 15:00:00.000
en,Yandex_Market,3,2025-04-04 15:00:00.000
en,Yandex_Search,5,2025-04-04 15:00:00.000
en,Yandex_Taxi,4,2025-04-04 15:00:00.000
en.m,Yandex,200,2025-04-04 15:00:00.000
en.m,Yandex_Maps,3,2025-04-04 15:00:00.000
en.m,Yandex_Market,2,2025-04-04 15:00:00.000
en.m,Yandex_Search,49,2025-04-04 15:00:00.000
en.m,Yandex_Taxi,4,2025-04-04 15:00:00.000
ru,YandexGPT,9,2025-04-04 15:00:00.000
ru.m,YandexGPT,6,2025-04-04 15:00:00.000
en,Yandex,41,2025-04-04 16:00:00.000
en,Yandex_Maps,12,2025-04-04 16:00:00.000
en,Yandex_Market,2,2025-04-04 16:00:00.000
en,Yandex_Search,8,2025-04-04 16:00:00.000
en,Yandex_Taxi,1,2025-04-04 16:00:00.000
en.m,Yandex,258,2025-04-04 16:00:00.000
en.m,Yandex_Maps,5,2025-04-04 16:00:00.000
en.m,Yandex_Market,1,2025-04-04 16:00:00.000
en.m,Yandex_Search,46,2025-04-04 16:00:00.000
en.m,Yandex_Taxi,9,2025-04-04 16:00:00.000
ru,YandexGPT,3,2025-04-04 16:00:00.000
ru.m,YandexGPT,3,2025-04-04 16:00:00.000
